age_group,period_flood,threshold_ug_dl,n_days,mean_bll,p95_bll,pct_days_exceed
Adult_18plus,Disturbance,3.5,1092,7.106941721143746,13.39934251359536,88.82783882783882
Adult_18plus,Disturbance,5,1092,7.106941721143746,13.39934251359536,67.3076923076923
Adult_18plus,Pre-flood,3.5,2076,3.3085040100288783,8.88162006146792,29.527938342967246
Adult_18plus,Pre-flood,5,2076,3.3085040100288783,8.88162006146792,18.159922928709054
Adult_18plus,Recovery,3.5,4588,3.3743194553564217,9.281668653378189,30.122057541412378
Adult_18plus,Recovery,5,4588,3.3743194553564217,9.281668653378189,17.872711421098515
Child_3_6y,Disturbance,3.5,1092,23.097560593717166,43.54786316918492,100
Child_3_6y,Disturbance,5,1092,23.097560593717166,43.54786316918492,100
Child_3_6y,Pre-flood,3.5,2076,10.75263803259385,28.865265199770736,87.37957610789981
Child_3_6y,Pre-flood,5,2076,10.75263803259385,28.865265199770736,75.28901734104046
Child_3_6y,Recovery,3.5,4588,10.966538229908366,30.16542312347911,92.98169136878815
Child_3_6y,Recovery,5,4588,10.966538229908366,30.16542312347911,75.1743679163034
Child_7_12y,Disturbance,3.5,1092,18.165958829241465,34.249880467811835,100
Child_7_12y,Disturbance,5,1092,18.165958829241465,34.249880467811835,100
Child_7_12y,Pre-flood,3.5,2076,8.45682291916873,22.702190436370397,79.38342967244701
Child_7_12y,Pre-flood,5,2076,8.45682291916873,22.702190436370397,62.138728323699425
Child_7_12y,Recovery,3.5,4588,8.62505290008884,23.72474930001173,81.60418482999128
Child_7_12y,Recovery,5,4588,8.62505290008884,23.72474930001173,62.903225806451616
Infant_0_6mo,Disturbance,3.5,1092,52.012148958640665,98.06308059225361,100
Infant_0_6mo,Disturbance,5,1092,52.012148958640665,98.06308059225361,100
Infant_0_6mo,Pre-flood,3.5,2076,24.21328472244573,65.00013138658146,100
Infant_0_6mo,Pre-flood,5,2076,24.21328472244573,65.00013138658146,98.79576107899807
Infant_0_6mo,Recovery,3.5,4588,24.694955021777332,67.92788677976664,100
Infant_0_6mo,Recovery,5,4588,24.694955021777332,67.92788677976664,100
Infant_6_12mo,Disturbance,3.5,1092,46.14622441419343,87.00353694971687,100
Infant_6_12mo,Disturbance,5,1092,46.14622441419343,87.00353694971687,100
Infant_6_12mo,Pre-flood,3.5,2076,21.482513085457104,57.66942358606285,100
Infant_6_12mo,Pre-flood,5,2076,21.482513085457104,57.66942358606285,96.29094412331408
Infant_6_12mo,Recovery,3.5,4588,21.909860660430045,60.26698704207812,100
Infant_6_12mo,Recovery,5,4588,21.909860660430045,60.26698704207812,100
Pregnant_Adult,Disturbance,3.5,1092,5.969831045760723,11.255447711420063,80.95238095238095
Pregnant_Adult,Disturbance,5,1092,5.969831045760723,11.255447711420063,50.091575091575095
Pregnant_Adult,Pre-flood,3.5,2076,2.7791433684242475,7.460560851633026,24.277456647398843
Pregnant_Adult,Pre-flood,5,2076,2.7791433684242475,7.460560851633026,12.716763005780345
Pregnant_Adult,Recovery,3.5,4588,2.834428342499384,7.796601668837651,23.583260680034872
Pregnant_Adult,Recovery,5,4588,2.834428342499384,7.796601668837651,12.903225806451612
Teen_13_17y,Disturbance,3.5,1092,10.642873410908201,20.065945628529178,99.35897435897436
Teen_13_17y,Disturbance,5,1092,10.642873410908201,20.065945628529178,91.20879120879121
Teen_13_17y,Pre-flood,3.5,2076,4.954590981583673,13.300511205370261,51.73410404624278
Teen_13_17y,Pre-flood,5,2076,4.954590981583673,13.300511205370261,32.70712909441233
Teen_13_17y,Recovery,3.5,4588,5.053151724106663,13.899596816167683,54.642545771578035
Teen_13_17y,Recovery,5,4588,5.053151724106663,13.899596816167683,32.01830863121186
Toddler_1_2y,Disturbance,3.5,1092,28.992884516419313,54.66283604617735,100
Toddler_1_2y,Disturbance,5,1092,28.992884516419313,54.66283604617735,100
Toddler_1_2y,Pre-flood,3.5,2076,13.497096001153116,36.232713713517185,94.89402697495183
Toddler_1_2y,Pre-flood,5,2076,13.497096001153116,36.232713713517185,82.7552986512524
Toddler_1_2y,Recovery,3.5,4588,13.765591182434985,37.86471846060888,99.01918047079337
Toddler_1_2y,Recovery,5,4588,13.765591182434985,37.86471846060888,86.55187445510026
